time_truth_sec,pos_east_truth_m,pos_north_truth_m,pos_up_truth_m,vel_east_truth_mps,vel_north_truth_mps,vel_up_truth_mps,yaw_truth_rad,pitch_truth_rad,roll_truth_rad
0,8.41999999999999,9.37129434652916e-08,0,-1.42843733100342e-12,9.37129434652916e-06,0,1.57079632719898,2.59531378581397e-22,2.67557511745074e-17
0.01,8.41999999999997,1.87425886930583e-07,0,-1.43262660122932e-12,9.37129434652916e-06,0,1.57079632839666,1.01569839100679e-21,1.04710936790125e-16
0.02,8.41999999999996,2.81138830395875e-07,0,-1.43960871549803e-12,9.37129434652916e-06,0,1.57079633036606,2.23486033461631e-21,2.30397454988744e-16
0.03,8.41999999999994,3.74851773861166e-07,0,-1.44938367589039e-12,9.37129434652916e-06,0,1.57079633308532,3.88337648640039e-21,4.00347203916573e-16
0.04,8.41999999999993,4.68564717326458e-07,0,-1.46195148240641e-12,9.37129434652916e-06,0,1.57079633653259,5.92760610689686e-21,6.11092081723307e-16
0.05,8.41999999999991,5.6227766079175e-07,0,-1.47731213504608e-12,9.37129434652916e-06,0,1.57079634068598,8.33390844392583e-21,8.59163986561339e-16
0.06,8.4199999999999,6.55990604257041e-07,0,-1.4954656338094e-12,9.37129434652916e-06,0,1.57079634552364,1.10686427361625e-20,1.141094816585e-15
0.07,8.41999999999988,7.49703547722333e-07,0,-1.51641197661553e-12,9.37129434652916e-06,0,1.57079635102371,1.40981682165478e-20,1.45341646994984e-15
0.08,8.41999999999987,8.43416491187624e-07,0,-1.54015116762616e-12,9.37129434652915e-06,0,1.57079635716431,1.73888441155366e-20,1.79266084481193e-15
0.09,8.41999999999985,9.37129434652916e-07,0,-1.56668320267959e-12,9.37129434652915e-06,0,1.57079636392359,2.09070296641838e-20,2.15535983932723e-15
0.1,8.41999999999984,1.03084237811821e-06,0,-1.59600808593753e-12,9.37129434652915e-06,0,1.57079637127968,2.46190840970693e-20,2.53804535165092e-15
0.11,8.41999999999982,1.1245553215835e-06,0,-1.62812581323827e-12,9.37129434652914e-06,0,1.57079637921071,2.8491366655058e-20,2.93724927993688e-15
0.12,8.4199999999998,1.21826826504879e-06,0,-1.66303638666266e-12,9.37129434652914e-06,0,1.57079638769482,3.24902365879011e-20,3.3495035223371e-15
0.13,8.41999999999979,1.31198120851408e-06,0,-1.70073980621071e-12,9.37129434652914e-06,0,1.57079639671015,3.65820531566737e-20,3.77133997700115e-15
0.14,8.41999999999977,1.40569415197937e-06,0,-1.74123607188241e-12,9.37129434652913e-06,0,1.57079640623482,4.0733175636048e-20,4.19929054207573e-15
0.15,8.41999999999975,1.49940709544466e-06,0,-1.78452518367777e-12,9.37129434652912e-06,0,1.57079641624698,4.49099633164089e-20,4.62988711570421e-15
0.16,8.41999999999974,1.59312003890996e-06,0,-1.83060714159677e-12,9.37129434652912e-06,0,1.57079642672476,4.90787755058038e-20,5.05966159602621e-15
0.17,8.41999999999972,1.68683298237525e-06,0,-1.87948194355859e-12,9.37129434652911e-06,0,1.5707964376463,5.32059715317304e-20,5.48514588117723e-15
0.18,8.4199999999997,1.78054592584054e-06,0,-1.9311495937249e-12,9.3712943465291e-06,0,1.57079644898973,5.72579107427655e-20,5.9028718692883e-15
0.19,8.41999999999968,1.87425886930583e-06,0,-1.98561008793402e-12,9.37129434652909e-06,0,1.57079646073318,6.12009525100272e-20,6.30937145848565e-15
0.2,8.41999999999966,1.96797181277112e-06,0,-2.04286342826679e-12,9.37129434652908e-06,0,1.5707964728548,6.50014562284788e-20,6.70117654689049e-15
0.21,8.41999999999964,2.06168475623641e-06,0,-2.10290961680406e-12,9.37129434652907e-06,0,1.57079648533271,6.86257813180678e-20,7.07481903261871e-15
0.22,8.41999999999961,2.1553976997017e-06,0,-2.16574864938414e-12,9.37129434652905e-06,0,1.57079649814505,7.20402872247036e-20,7.42683081378069e-15
0.23,8.41999999999959,2.24911064316699e-06,0,-2.23138052808787e-12,9.37129434652904e-06,0,1.57079651126997,7.52113334210737e-20,7.75374378848115e-15
0.24,8.41999999999957,2.34282358663228e-06,0,-2.29980525083441e-12,9.37129434652903e-06,0,1.57079652468558,7.81052794072975e-20,8.05208985481897e-15
0.25,8.41999999999955,2.43653653009757e-06,0,-2.37102282178545e-12,9.37129434652901e-06,0,1.57079653837003,8.06884847114163e-20,8.31840091088713e-15
0.26,8.41999999999952,2.53024947356286e-06,0,-2.44503323886014e-12,9.37129434652899e-06,0,1.57079655230146,8.29273088897236e-20,8.54920885477262e-15
0.27,8.4199999999995,2.62396241702815e-06,0,-2.52183649997763e-12,9.37129434652897e-06,0,1.57079656645799,8.47881115269321e-20,8.74104558455637e-15
0.28,8.41999999999947,2.71767536049344e-06,0,-2.60143260929963e-12,9.37129434652895e-06,0,1.57079658081777,8.62372522361767e-20,8.89044299831333e-15
0.29,8.41999999999945,2.81138830395873e-06,0,-2.68382156266443e-12,9.37129434652893e-06,0,1.57079659535892,8.724109065886e-20,8.99393299411242e-15
